BORD,QI478,QI478A,QI478E1,QI478E2,QI478E3,QI478E4,QI478E5,QI478E6,QI478E7,QI478E8,QI478E9,QI478E10,QI478F1,QI478F2_A,QI478F2_B,QI478F2_C,QI478F2_D,QI478F2_E,QI478F3,QI478F4,QI478F5,QI478F6,QI478G1,QI478G2_A,QI478G2_B,QI478G2_C,QI478G3,QI478G4,QI478H1,QI478H2,QI478H3,QI478H4,QI478H5,QI478H6,QI478H7,QI478H8_A,QI478H8_B,QI478H9,QI478H10,QI478H11,QI478H12,QI478I1,QI478I2,QI478I3,QI478I4_A,QI478I4_B,QI478I5,QI478I6,QI478I7,QI478I8,QI478J1,QI478J2,QI478J3,QI478J4_A,QI478J4_B,QI478J5,QI478J6,QI478J7,QI478J8,CASEID,BIDX,ID1
3,19,0, , , , , , , , , , , , , , , , , , , , ,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      004500101  2,1,2023
1,61,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,1,1,2,1,2,1,      004500501  2,2,2023
1,61,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,1,      004503201  1,1,2023
3,31,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,8,2,1,1,1,2,3,2,2, , , , , , , , , , , , , , , , , , ,      004503401  2,1,2023
1,56,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2,1,2,1,      004503701  2,2,2023
2,28,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,1,1,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , ,      004503701  2,1,2023
1,37,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,2,1,1,2,1,2,1, , , , , , , , , ,      004504901  2,2,2023
2,9,0,4,2,1,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      004504901  2,1,2023
1,44,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,2,1,2,1,2,2, , , , , , , , , ,      005102001  2,2,2023
6,20,0, , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      005103901  2,1,2023
2,40,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,1,2,1,2,2, , , , , , , , , ,      005106401  2,1,2023
