BORD,QI478,QI478A,QI478E1,QI478E2,QI478E3,QI478E4,QI478E5,QI478E6,QI478E7,QI478E8,QI478E9,QI478E10,QI478F1,QI478F2_A,QI478F2_B,QI478F2_C,QI478F2_D,QI478F2_E,QI478F3,QI478F4,QI478F5,QI478F6,QI478G1,QI478G2_A,QI478G2_B,QI478G2_C,QI478G3,QI478G4,QI478H1,QI478H2,QI478H3,QI478H4,QI478H5,QI478H6,QI478H7,QI478H8_A,QI478H8_B,QI478H9,QI478H10,QI478H11,QI478H12,QI478I1,QI478I2,QI478I3,QI478I4_A,QI478I4_B,QI478I5,QI478I6,QI478I7,QI478I8,QI478J1,QI478J2,QI478J3,QI478J4_A,QI478J4_B,QI478J5,QI478J6,QI478J7,QI478J8,CASEID,BIDX,ID1
2,56,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,2,1,3,2,1,      001806701  2,2,2023
1,19,0, , , , , , , , , , , , , , , , , , , , ,2,1,1,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      001807001  6,1,2023
2,56,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,2,2,1,      002105101  3,3,2023
3,30,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , ,      002105101  3,2,2023
4,12,0,5,1,2,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      002105101  3,1,2023
4,19,0, , , , , , , , , , , , , , , , , , , , ,2,1,1,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      002111001  2,1,2023
1,33,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,1,1,1,1,2,2,2,1, , , , , , , , , , , , , , , , , , ,      002111201  4,1,2023
1,14,0, , , , , , , , , , ,3,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      002114401  2,1,2023
2,56,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,3,1,2,      002202101  2,1,2023
4,40,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,1,1,3,2,1, , , , , , , , , ,      002202201  2,1,2023
2,62,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,3,2,2,      002203201  2,2,2023
3,10,0,5,2,1,1,1,1,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      002203201  2,1,2023
2,31,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,1,2,1,1,1,2,3,2,1, , , , , , , , , , , , , , , , , , ,      002205001  2,1,2023
1,65,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,3,2,2,      002206501  2,2,2023
2,15,0, , , , , , , , , , ,3,1,2,2,2,2,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      002206501  2,1,2023
3,24,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,2,1,1,1,2,1,2,1, , , , , , , , , , , , , , , , , , ,      002207501  1,1,2023
2,53,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,1,1,1,1,3,1,2, , , , , , , , , ,      002210501  2,2,2023
3,16,0, , , , , , , , , , ,6,1,2,2,2,2,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      002210501  2,1,2023
2,50,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,1,1,1,2,1,2,1, , , , , , , , , ,      002210701  1,1,2023
2,11,0,5,1,1,1,1,1,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      002302201  2,1,2023
4,35,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,2,1,2,1,1,2,1,3,2,2, , , , , , , , , , , , , , , , , , ,      002302901  2,2,2023
5,17,0, , , , , , , , , , ,6,2,2,2,2,2,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      002302901  2,1,2023
3,45,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,1,1,1,3,1,2, , , , , , , , , ,      002305901  2,1,2023
1,31,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,1,1,1,1,2,2,2,1, , , , , , , , , , , , , , , , , , ,      002307201  4,1,2023
2,31,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,1,1,1,1,1,2,1,2,2, , , , , , , , , , , , , , , , , , ,      002309001  1,1,2023
3,31,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,2,2,1,1,1,1,3,2,1, , , , , , , , , , , , , , , , , , ,      002309701  1,2,2023
2,13,0, , , , , , , , , , ,3,2,2,2,2,2,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      002311501  2,1,2023
5,34,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,1,1,1,1,2,2,2,1, , , , , , , , , , , , , , , , , , ,      003100201  2,1,2023
1,60,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,2,2,1,      003100301  2,2,2023
2,35,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,1,2,1,1,1,2,2,1,1, , , , , , , , , , , , , , , , , , ,      003100301  2,1,2023
5,52,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,8,2,2,1,2,1,2,2, , , , , , , , , ,      003115001  1,2,2023
6,25,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,2,1,2,1,1,2, , , , , , , , , , , , , , , , , , ,      003115001  1,1,2023
1,30,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,1,1,1,1,1,2,2,2,1, , , , , , , , , , , , , , , , , , ,      003115101  2,2,2023
2,11,0,4,2,2,1,1,1,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      003115101  2,1,2023
4,59,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,2,1,2,1,1,1,      003115301  2,3,2023
5,28,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,1,1,2,1,1,2,1,1, , , , , , , , , , , , , , , , , , ,      003115301  2,2,2023
8,34,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,1,1,1,2,2,2,1, , , , , , , , , , , , , , , , , , ,      003115401  2,1,2023
1,33,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,1,1,2,1,2,1,2,1, , , , , , , , , , , , , , , , , , ,      003115501  2,2,2023
2,18,0, , , , , , , , , , ,6,1,1,1,2,2,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      003115501  2,1,2023
3,43,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,1,2,2,1, , , , , , , , , ,      003122401  2,1,2023
6,55,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,2,2,2,1,      003122501  2,2,2023
7,22,0, , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      003122501  2,1,2023
2,49,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,1,2,2,1,1, , , , , , , , , ,      003122601  2,1,2023
3,31,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,2,1,1,1,1,2,2,1,1, , , , , , , , , , , , , , , , , , ,      003122701  1,1,2023
8,13,0, , , , , , , , , , ,3,2,2,2,2,2,2,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      003305101  2,1,2023
4,45,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,1,1,1,2,2,1,1, , , , , , , , , ,      003305301  2,1,2023
1,53,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,2,2,1, , , , , , , , , ,      003307701  2,1,2023
1,40,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,1,2,1,2,2, , , , , , , , , ,      003308101  2,1,2023
2,14,0, , , , , , , , , , ,6,2,2,2,2,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      003310301  2,1,2023
1,50,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,1,2,1,2,2, , , , , , , , , ,      003310401  3,1,2023
3,21,0, , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      003310501  2,1,2023
5,52,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,2,1,2,3,1,2, , , , , , , , , ,      003400101  2,2,2023
6,26,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,1,2,1,1,1,2,3,2,2, , , , , , , , , , , , , , , , , , ,      003400101  2,1,2023
3,16,0, , , , , , , , , , ,6,1,1,2,2,1,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      003400201  1,1,2023
6,27,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,2,2,1,2,1,2,1, , , , , , , , , , , , , , , , , , ,      003400301  1,1,2023
2,52,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2,2,1,2, , , , , , , , , ,      003400301  6,1,2023
1,33,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,1,1,1,1,2,3,2,1, , , , , , , , , , , , , , , , , , ,      003403601  1,2,2023
2,17,0, , , , , , , , , , ,6,2,2,2,2,2,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      003403601  1,1,2023
2,65,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,1,      003403701  2,2,2023
3,42,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,1,2,2,2,1, , , , , , , , , ,      003403701  2,1,2023
2,27,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,2,1,2,1,1,2,3,2,1, , , , , , , , , , , , , , , , , , ,      003403901  2,1,2023
3,44,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,3,1,1, , , , , , , , , ,      003410001  2,1,2023
2,65,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,1,      003410101  2,2,2023
3,36,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,1,2,1,1,2,1,2,2, , , , , , , , , , , , , , , , , , ,      003410101  2,1,2023
3,39,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,2,2,2, , , , , , , , , ,      003410801  2,2,2023
1,39,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,1,2,1,2,1, , , , , , , , , ,      003502401  2,2,2023
2,43,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,2,1,2,1,2,1, , , , , , , , , ,      003502601  1,2,2023
3,26,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,2,2,1,1,2,1,2,1,2,1, , , , , , , , , , , , , , , , , , ,      003502601  1,1,2023
4,41,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,1,2,2,2,1, , , , , , , , , ,      003513701  1,2,2023
1,10,0,2,1,2,1,1,2,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      003513801  2,1,2023
4,34,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,2,2,2,1,2,2,2,1, , , , , , , , , , , , , , , , , , ,      003513901  2,2,2023
